f [Hz]  UR [V]  E [V]   phi E/R
36.08   0.163   14.39   -92.3
70.69   0.319   14.39   -90.3
103.4   0.470   14.39   -88.2
148.1   0.6995  14.39   -87.5
202.9   1.008   14.39   -85.3
308.2   1.705   14.29   -80.5
492.3   3.779   13.70   -66.9
584.7   5.701   12.55   -51.5
667.5   7.477   10.93   -21.9
699.5   7.799   10.52   -4.4
708.4   7.799   10.52   0.0
721.1   7.799   10.53   7.0
769.9   7.276   11.16   29.4
821.8   6.352   12.02   45.6
847.7   5.960   12.3    51.0
907.3   4.985   12.95   59.8
996.1   4.048   13.57   67.5
1211.2  2.716   14.09   76.3
1512.4  1.907   14.23   80.5
2009    1.278   14.31   84.0
3072.6  0.786   14.39   87.0
4925    0.473   14.39   88.4
8127    0.280   14.39   89.1
10235   0.220   14.39   89.7 
