t [h]	T [°C]    durée à partir du 30 janvier 2022 minuit
0	6.3
1	4
2	2.8
3	1.9
4	1.8
5	1.3
6	0.9
7	0.6
8	0.4
9	1.4
10	6.1
11	9.7
12	11.7
13	13.5
14	14.3
15	15.3
16	14.7
17	13.9
18	12.6
19	11.4
20	10.4
21	9.6
22	7.2
23	6.1
24	5.3
25	5.1
26	4.6
27	3.7
28	3.3
29	4.5
30	5.6
31	6.6
32	7.2
33	7.8
34	9.5
35	10.7
36	11.5
37	12
38	12.8
39	13.6
40	13.1
41	12.3
42	10.8
43	10.8
44	9.6
45	9
46	8.8
47	8.3
48	7.3
49	7.6
50	6.9
51	6.6
52	6.3
53	5.9
54	5.7
55	5.6
56	5.6
57	5.8
58	6.7
59	7.8
60	8.7
61	9.3
62	9.9
63	10.6
64	11.2
65	10.9
66	10.3
67	10.1
68	10.1
69	9.8
70	9.8
71	10.2
72	10.5
73	10.6
74	10.8
75	10.4
76	10.8
77	10.8
78	10.7
79	10.7
80	10.7
81	11.2
82	12.3
83	13.4
84	14.6
85	15.4
86	15.6
87	15.7
88	15.2
89	14.9
90	13.8
91	13
92	12.6
93	12.4
94	11.9
95	11.6
